snippet,keywords,news_desk,headline,pub_date,negative,positive,sentiment_score
"A rare visit to mainland China by Ma Ying-jeou, who’s now in the opposition, is a chance for political messaging on both sides of the Taiwan Strait.","[{'name': 'glocations', 'value': 'China', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Taiwan', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Territorial Disputes', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Ma Ying-jeou', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Lai Ching-te', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Xi Jinping', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Progressive Party (Taiwan)', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Chinese Nationalist Party (Taiwan)', 'rank': 9, 'major': 'N'}]",Foreign,"{'main': 'Beijing Deplores Taiwan’s Next President, but Welcomes an Old One', 'kicker': None, 'content_kicker': None, 'print_headline': 'Beijing Deplores Taiwan’s New Leader, but Welcomes an Old One', 'name': None, 'seo': None, 'sub': None}",2024-04-01T01:51:15+0000,0.0005974830710329115,0.9994025230407715,0.9988050399697386
"Narendra Modi has kept India on its swift upward path among the world’s largest economies. Many Indians are better off, though wealth gaps have widened.","[{'name': 'glocations', 'value': 'India', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Economic Conditions and Trends', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Income Inequality', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Poverty', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Rural Areas', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Stocks and Bonds', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'High Net Worth Individuals', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Income', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Infrastructure (Public Works)', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 12, 'major': 'N'}, {'name': 'persons', 'value': 'Modi, Narendra', 'rank': 13, 'major': 'N'}, {'name': 'persons', 'value': 'Adani, Gautam S', 'rank': 14, 'major': 'N'}, {'name': 'glocations', 'value': 'Bihar (India)', 'rank': 15, 'major': 'N'}, {'name': 'glocations', 'value': 'Delhi (India)', 'rank': 16, 'major': 'N'}, {'name': 'glocations', 'value': 'Mumbai (India)', 'rank': 17, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 19, 'major': 'N'}, {'name': 'subject', 'value': 'audio-neutral-informative', 'rank': 20, 'major': 'N'}]",Business,"{'main': 'What 10 Years of Modi Rule Has Meant for India’s Economy', 'kicker': None, 'content_kicker': None, 'print_headline': 'Economy in India Under Modi Is Growing, but So Is Inequality', 'name': None, 'seo': None, 'sub': None}",2024-04-01T04:00:22+0000,0.00040464173071086407,0.9995953440666199,0.999190702335909
A globe-spanning research project has turned the catalog of a public archive destroyed in Ireland’s civil war into a model for reconstruction.,"[{'name': 'subject', 'value': 'Archives and Records', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Virtual Record Treasury of Ireland', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Ireland', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Libraries and Librarians', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Restoration and Renovation', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Yale University', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'National Archives (Great Britain)', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Trinity College (Dublin, Ireland)', 'rank': 9, 'major': 'N'}]",Foreign,"{'main': 'A New Chapter for Irish Historians’ ‘Saddest Book’', 'kicker': None, 'content_kicker': None, 'print_headline': 'Ireland Is Recovering Historical Documents Lost to the Flames of War ', 'name': None, 'seo': None, 'sub': None}",2024-04-01T04:01:19+0000,0.0007439721957780421,0.9992559552192688,0.9985119830234908
The area around Bolzano has a thick network of family support provided by the government. That means a steady birthrate in a country facing a demographic plunge.,"[{'name': 'glocations', 'value': 'Bolzano (Italy)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Childhood', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Child Care', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Birth Rates', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Parenting', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}]",Foreign,"{'main': 'What Happened When This Italian Province Invested in Babies', 'kicker': None, 'content_kicker': None, 'print_headline': 'Babies, and a Stack of Benefits, Are Abundant in One Italian Province', 'name': None, 'seo': None, 'sub': None}",2024-04-01T04:01:20+0000,0.0005179246654734015,0.9994820952415466,0.9989641705760732
"China has adopted some of the same misinformation tactics that Russia used ahead of the 2016 election, researchers and government officials say.","[{'name': 'subject', 'value': 'Presidential Election of 2024', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rumors and Misinformation', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Conspiracy Theories', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Social Media', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Right-Wing Extremism and Alt-Right', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 12, 'major': 'N'}]",Business,"{'main': 'China’s Advancing Efforts to Influence the U.S. Election Raise Alarms', 'kicker': None, 'content_kicker': None, 'print_headline': 'China’s Advancing Efforts  To Influence U.S. Election', 'name': None, 'seo': None, 'sub': None}",2024-04-01T04:01:29+0000,0.995320737361908,0.004679290112107992,-0.9906414472498
"Syfy airs the 1998 vampire movie. The CMT Music Awards are live in Austin, Texas.","[{'name': 'subject', 'value': 'Television', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Movies', 'rank': 2, 'major': 'N'}]",Culture,"{'main': 'What’s on TV This Week: ‘Blade’ and the CMT Music Awards', 'kicker': None, 'content_kicker': None, 'print_headline': 'This Week on TV', 'name': None, 'seo': None, 'sub': None}",2024-04-01T05:00:09+0000,0.0066834804601967335,0.9933165311813354,0.9866330507211387
"While some viewers lamented the movie’s exclusion of scenes from Hiroshima or Nagasaki, others said they recognized that it had another story to tell.","[{'name': 'subject', 'value': 'World War II (1939-45)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Nuclear Weapons', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Academy Awards (Oscars)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Nolan, Christopher', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Japan', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'audio-neutral-informative', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'audio-neutral-immersive', 'rank': 7, 'major': 'N'}]",Foreign,"{'main': '‘Oppenheimer’ Opens in Nuclear-Scarred Japan, 8 Months After U.S. Premiere', 'kicker': None, 'content_kicker': None, 'print_headline': 'Watching ‘Oppenheimer’ in Japan 79 Years After Atomic Bombs Were Dropped', 'name': None, 'seo': None, 'sub': None}",2024-04-01T06:03:08+0000,0.0012573879212141037,0.9987426400184631,0.997485252097249
"The temporary alternate channel will be able to accommodate some barges and tugboats but not larger vessels, the authorities said.","[{'name': 'subject', 'value': 'Bridges and Tunnels', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Ships and Shipping', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Maritime Accidents and Safety', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Ports', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'United States Coast Guard', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Baltimore (Md)', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Francis Scott Key Bridge (Baltimore, Md)', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Maryland', 'rank': 9, 'major': 'N'}]",National,"{'main': 'Baltimore Opens Temporary Shipping Route Around Key Bridge Wreckage', 'kicker': None, 'content_kicker': None, 'print_headline': 'Temporary Channel Will Bypass Baltimore Bridge Wreckage', 'name': None, 'seo': None, 'sub': None}",2024-04-01T08:36:54+0000,0.8865522742271423,0.11344777047634125,-0.7731045037508011
"Ending many of his rallies with a churchlike ritual and casting his prosecutions as persecution, the former president is demanding — and receiving — new levels of devotion from Republicans.","[{'name': 'persons', 'value': 'Trump, Donald J', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2024', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Christians and Christianity', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Evangelical Movement', 'rank': 6, 'major': 'N'}]",Politics,"{'main': 'The Church of Trump: How He’s Infusing Christianity Into His Movement', 'kicker': None, 'content_kicker': None, 'print_headline': 'Trump Rallies Are Evolving Into a Church', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:00:46+0000,0.3688788115978241,0.6311212182044983,0.2622424066066742
"At 87, the dapper insider is releasing a new book of interviews conducted in 1980 and 1981 with the band and people nearest to it.","[{'name': 'subject', 'value': 'Pop and Rock Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Beatles, The', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Lennon, John', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Harrison, George', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'McCartney, Paul', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Starr, Ringo', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Ono, Yoko', 'rank': 9, 'major': 'N'}, {'name': 'creative_works', 'value': 'All You Need Is Love: The Beatles in Their Own Words (Book)', 'rank': 10, 'major': 'N'}]",Culture,"{'main': 'Peter Brown, One of the Beatles’ Closest Confidants, Tells All (Again)', 'kicker': None, 'content_kicker': None, 'print_headline': 'Confidant of the Beatles  Tells All (Again)', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:02:01+0000,0.09347875416278839,0.9065212607383728,0.8130425065755844
